itemcode,itemname
128671,어묵김말이
131871,현미호두죽
139247,북어갈비
149207,토마토스파게티
151148,표고버섯탕수
153040,갈릭치킨
221094,양파링튀김
221097,참치삼각김밥
221098,뚝배기해물떡볶이
221101,스팸샌드위치
221102,참치깻잎주먹밥
223583,새우볶음밥고로케
223584,스팸쌈밥
225141,베이컨김치말이밥
225146,스팸오이식빵롤
331003,고구마치즈스틱
331006,오징어볶음우동
333866,호두가래떡구이
333869,카레새우삼각김밥
340534,블루베리쨈
340537,미니새우버거
343935,고구마그라탕
344698,밤식빵
345834,고구마보트
346652,감자스프
346665,뚝배기라면
347791,포테이토스킨
349330,오코노미야키
349332,야끼만두
349381,두부조림
349386,매운갈비찜
349740,어묵볶음
352110,칠리새우볶음
352364,꼬마김밥
352415,홍시아이스크림
355810,에그스팸샌드위치
357068,단호박사블레
358881,뮈슬리초코칩쿠키
369066,쌀빵
369072,아몬드타르트
369105,팥파운드케이크
369918,홍시요거트
371267,닭꼬지
372893,팥양갱
373342,파네토네
374689,소고기크림치즈오븐스파게티
374775,브라우니
375018,브라우니치즈케이크
375800,돼지고기김치찌개
376020,로스트치킨
376773,브라우니
380654,오트밀쿠키
380671,밤머핀
380676,크랜베리브리오슈
380726,찜닭
380934,바나나프렌치토스트
380960,베이컨그라탕
381157,단호박해물치즈구이
383305,파스타
383788,갸토쇼콜라
384074,몽블랑
384426,바질페스토
384503,포카치아
384505,흑미와플
384508,쏘야볶음
384706,메론빵
384888,튜나에그샌드위치
385575,푸딩
385717,오븐웨지감자
386937,쿠키
387111,대추스콘
387126,짜장떡볶이
387415,바나나찹쌀떡
387766,카레어묵전골
387780,모카머핀
387790,버섯포카치아
387802,어묵
387811,크림소스
388157,파니니
388168,파니니
388473,시나몬비스코티
388477,버터케이크
389261,리코타치즈
390307,레몬생크림케이크
390524,초콜릿케이크
390529,통밀쿠키
390949,시나몬큐브
390973,초코바나나머핀
391763,애호박사워크림케이크
393505,브라우니
393589,초코뮈슬리쿠키
394337,닭강정
395162,피낭시에
395639,소세지크로와상
396244,뮈슬리바
398391,그린티현미쉬폰
398430,카레
398436,불닭퀘사디아
400622,계란빵
409397,검은깨샤브레
411750,얼큰수제비
412310,오트밀빵
413285,시나몬롤
413969,조기매운탕
413979,오이무침
414073,식빵꽃
414094,쇼콜라케이크
414203,전자렌지딸기찹쌀떡
414255,닭고기샌드위치
414263,깻잎떡볶이
414319,연어또띠아말이
414544,김치볶음밥
415008,바나나머핀
415169,탕수만두
415189,굴무밥
420112,볶음밥
420314,모밀국수
420422,토마토카프레제샐러드
420425,오징어청양고추조림
420777,코다리조림
421146,카야쨈호떡
421183,초콜렛치즈머핀
421940,샐러드오므라이스
421942,어묵볶음
423378,두부치즈케익
423515,메밀전병
423536,깻잎순조림
424008,라볶이
424127,쇼콜라
426409,마파두부덮밥
500753,깡장
501958,밤조림
502713,티라미수컵케익
503247,닭발
503870,크로켓
506469,초코칩케이크
507388,복숭아찹쌀떡
508381,굴무밥
508960,미역국
508987,느타리버섯전
509457,마로니에
511476,멀티그레인곡물빵
511732,약밥
512897,초코파운드케이크
512913,하트마카롱쿠키
513132,컵케익
513745,밥샌드위치
515823,견과류초콜릿
516336,와플
516644,들깨무국
517865,연근전
518675,참치김치전
519491,홈런볼
519510,해물볶음라면
519563,월병
520176,찹쌀경단
521163,냉이순두부찌개
521359,잡채
521782,생크림케이크
521825,까망베르치즈케이크
522434,시래기들깨탕
523028,모카쿠키
525020,크림치즈딸기카나페
526037,오징어볶음
526063,동태전
527132,꽁치김치찌개
527290,연근전
529171,모카쿠키
529343,초코쉬폰케이크
529567,케이크
529603,갈치조림
529674,밤파운드케이크
530452,초콜렛
532504,유부초밥
533182,코다리양념구이
534928,쿠키
535507,고구마크림치즈구이
535916,초코슈
536299,부추된장국
537653,초코칩쿠키
538129,깐풍코다리
538734,묵은지감자탕
539654,아몬드초콜렛
539853,딸기케이크
540257,부추제육볶음
541618,하트쿠키
542560,모카초코칩머핀
543214,무화과컵케이크
544697,김치오믈렛
546875,꽃게매운탕
548061,시나몬메이플쿠키
548674,새우버거
549832,충무김밥
549897,단호박찜케익
551169,연어간장조림
552120,햄크림파스타
553130,로쉐
553211,찐빵
553795,느타리버섯구이
554544,딸기가나슈케이크
554810,베이컨
554907,쌈밥
556473,순두부찌개
558747,식혜
558801,고구마야채튀김
559136,부대찌개
559333,식빵
559402,카스테라
561422,닭개장
562753,초코바
563065,떡볶이
563115,퍼지브라우니
563128,마늘바게트
563148,모카빵
563253,삼색상투과자
564525,캬라멜크림
564527,옥수수식빵
564734,망고레어치즈케이크
564760,식빵
564860,양념꼬막
565100,치킨까스카레덮밥
566034,케이크
566275,요거트스콘
566544,야채피클
566763,홍합탕
566802,오렌지탕수육
567648,와플
567655,떡갈비
567959,달래김무침
568281,키위바나나잼
569360,멸치무침
569442,달걀찜
570245,꽃게된장찌개
570643,오렌지닭봉구이
571167,햄야채키슈
574700,견과류파운드케익
576309,쿠키
576385,파운드케이크
576938,돼지고기야채볶음
577365,쌀가루치즈케이크
578044,연어계란샐러드
578456,해물김치볶음밥
578673,닭가슴살두부강정
578899,대구탕
581070,도토리묵전
581188,두부또띠아피자
581890,차돌박이된장찌개
582242,캬라멜와플
582755,사탕
582775,케이크
583962,떡케익
584304,코다리조림
585073,소고기연근전
585127,꼬막볶음
585261,호두초코칩케이크
585477,피낭시에
586244,연두부샐러드
587024,잉글리시머핀
587221,단호박머핀
587229,돼지고기카레불고기
587369,컵계란빵
587520,딸기견과류샐러드
589054,두부새우선
589258,캬라멜마블파운드케이크
589655,유자제육볶음
590786,제누아즈
590788,딸기생크림케이크
591138,두부명란젓찌개
591345,닭가슴살샐러드
591592,샤벳
591830,롤케이크
591989,등갈비바베큐
592910,열무김치
593089,모과차
593282,오렌지마들렌
593304,아마씨식빵
593319,두부샌드그라탕
593560,브로콜리새우볶음밥
594797,딸기버터케이크
597079,김치스파게티
597108,콘브레드
614854,닭개장
615938,초콜렛
616478,귤머핀
616518,굴비탕수육
617567,풋마늘오징어무침
617659,버거
617899,치즈케이크
617967,칠리참치롤
618174,쉬림프딸기샐러드
618675,귤쥬스
618685,초코케익
618953,김치볶음밥
619124,감귤젤리아이스바
619152,순대전골
619616,식빵
